,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
101,大客户经理,北京,16:20,17k-25k,经验3-5年,本科,微位科技,"['移动互联网 / B轮 / 50-150人', '信息安全', '网络通信', '“国家政策标准研究项目”']"
102,数据分析运营经理(casual game team),北京,16:20,16k-25k,经验1-3年,本科,威力强化,"['游戏 / 不需要融资 / 15-50人', '游戏', '数据运营', '“有机会去新加坡总部工作”']"
103,软件测试工程师,北京,16:20,15k-30k,经验3-5年,大专,微淼财商,"['教育、数据服务 / 未融资 / 2000人以上', '年底双薪', '绩效奖金', '带薪年假', '节日礼物', '“财商教育头部，技术氛围好，技术团队100+”']"
104,高级java开发工程师,广州,16:20,18k-30k,经验3-5年,大专,暖暖直播,"['MCN｜直播平台 / 未融资 / 50-150人', 'MCN｜直播平台', '社交平台', 'JavaScript', 'HTML', 'Vue', '“周末双休；零食下午茶；聚餐”']"
105,java后端高级开发工程师,北京,16:21,15k-25k,经验3-5年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '绩效奖金', '岗位晋升', '定期体检', '五险一金', '“五险一金 发展空间大 国内外旅游”']"
106,研发经理,上海,16:21,40k-60k,经验10年以上,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'Windows', 'C语言', 'Linux', '“餐补 弹性上下班”']"
107,亚马逊精品运营（日本站）,深圳,16:21,7k-12k,经验1-3年,本科,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '贸易｜进出口', '电商平台', '海外用户', '跨境电商运营', '亚马逊运营', '“五险一金，年终奖金，年度调薪”']"
108,php开发工程师,北京,16:21,12k-20k,经验1-3年,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'JavaScript', 'HTML', 'MySQL', 'Linux', '“领导nice，团队氛围好，加班可调休，发展空间大”']"
109,运维工程师,深圳,16:21,10k-15k,经验1-3年,大专,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', 'Windows', 'Linux', 'Zabbix', 'nginx', '“福利待遇优”']"
110,ios开发工程师,天津,16:21,8k-15k,经验1-3年,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', 'IT技术服务｜咨询', '在线教育', 'Kotlin', 'Android', '“发展空间大”']"
